category,partner_sku,product_id,title,noon_sku,in_wf2_sku_table,noon_180d_sales,erp_180d_sales,diff_sales,noon_latest_price,erp_latest_price,diff_price,cost_price,erp_profit_rate,noon_cancel_count,noon_return_count
A_仅noon有销量,SAA0201A,,,,N,1,0,1,87.10,,,,,0,0
A_仅noon有销量,SAB0500A,,,,N,3,0,3,95.50,,,,,0,0
A_仅noon有销量,SAB0501A-88,,,,N,3,0,3,126.50,,,,,0,0
A_仅noon有销量,SAB0521C,,,,N,16,0,16,27.45,,,,,0,1
A_仅noon有销量,SAB0522B,,,,N,1,0,1,33.00,,,,,0,0
A_仅noon有销量,SAB0522F,,,,N,4,0,4,38.00,,,,,0,0
A_仅noon有销量,SAB0522G,,,,N,2,0,2,47.00,,,,,0,1
A_仅noon有销量,SAB0522N,,,,N,1,0,1,45.00,,,,,0,0
A_仅noon有销量,SAB0522P,,,,N,1,0,1,35.33,,,,,0,0
A_仅noon有销量,SAB0522Y,,,,N,1,0,1,27.65,,,,,0,0
A_仅noon有销量,SAB0523A,,,,N,1,0,1,40.90,,,,,0,0
A_仅noon有销量,SAB0528B,,,,N,6,0,6,34.07,,,,,0,0
A_仅noon有销量,SAB0543P,,,,N,5,0,5,75.00,,,,,1,0
A_仅noon有销量,SAB0547L,,,,N,1,0,1,45.90,,,,,0,0
A_仅noon有销量,SAB0549J,,,,N,1,0,1,140.13,,,,,0,0
A_仅noon有销量,SAB0550J,,,,N,2,0,2,129.00,,,,,0,0
A_仅noon有销量,SAB0551J,,,,N,2,0,2,75.34,,,,,0,0
A_仅noon有销量,SAB0553A,,,,N,2,0,2,76.96,,,,,0,0
A_仅noon有销量,SAB0554B,,,,N,4,0,4,135.98,,,,,0,0
A_仅noon有销量,SAB0581A,,,,N,1,0,1,82.95,,,,,0,0
A_仅noon有销量,SAB0581B,,,,N,1,0,1,82.95,,,,,0,0
A_仅noon有销量,SBA0193A,,,,N,4,0,4,58.54,,,,,0,0
A_仅noon有销量,SCB0239A,,,,N,4,0,4,39.48,,,,,1,1
A_仅noon有销量,SCB0242A,,,,N,3,0,3,88.20,,,,,0,1
A_仅noon有销量,SCB0244A,,,,N,2,0,2,82.95,,,,,0,0
A_仅noon有销量,SCB0245B,,,,N,2,0,2,59.00,,,,,0,0
A_仅noon有销量,SCB0246A,,,,N,1,0,1,34.50,,,,,0,0
A_仅noon有销量,SCD0159A,SCD0159,儿童泳镜,Z2CB212B34685EFAB6219Z-1,Y,1,0,1,96.47,,,25.98,,0,0
A_仅noon有销量,SCD0172F,,,,N,2,0,2,55.80,,,,,0,0
A_仅noon有销量,SCD0172J,,,,N,3,0,3,57.22,,,,,0,0
A_仅noon有销量,SCD0173A,,,,N,1,0,1,60.64,,,,,0,0
A_仅noon有销量,SCD0174B,,,,N,3,0,3,40.00,,,,,0,0
A_仅noon有销量,SCD0174W,,,,N,1,0,1,39.50,,,,,0,0
A_仅noon有销量,SCD0191A,,,,N,4,0,4,140.13,,,,,0,0
A_仅noon有销量,SDA1872N,SDA1872,一次性发热鞋垫,Z9AB6C884BE1ED37FD256Z-1,Y,4,0,4,67.50,,,5.5,,0,0
A_仅noon有销量,SDA1873A,SDA1873,一次性发热暖贴,ZD5CBBAA553B2E1B5A529Z-1,Y,4,0,4,60.50,,,4.5,,0,0
C_销量数字差异,SDA1874A,SDA1874,壶铃,Z037A29C013F59D57CED9Z-1,Y,13,6,7,98.00,98.00,+0.00,18.53,40.00,0,0
C_销量数字差异,SDA1875A,SDA1875,户外保温杯,Z12B2259C8559E8EF5CC9Z-1,Y,4,1,3,78.50,78.00,+0.50,34.5,35.00,0,1
A_仅noon有销量,SDA1876A,SDA1876,运动水杯,Z20A8CAFD139B42BEB858Z-1,Y,4,0,4,55.00,,,10.5,,0,0
A_仅noon有销量,SDA1881A,SDA1881,手套,ZD86C58A4F379535EB8C6Z-1,Y,1,0,1,50.50,,,13.99,,0,0
A_仅noon有销量,SDA1886A,SDA1886,跳绳,Z46E76BCD678392BFA422Z-1,Y,2,0,2,53.55,,,15.4,,0,0
A_仅noon有销量,SDA1964B,,,,N,5,0,5,110.36,,,,,2,0
A_仅noon有销量,SDA1964C,,,,N,2,0,2,110.36,,,,,0,1
C_销量数字差异,SDA1967A,SDA1967,野营餐垫,Z38B299EDF939A56A81B4Z-1,Y,24,27,-3,89.86,89.00,+0.86,24.04,42.00,0,1
A_仅noon有销量,SDA1967B,,,,N,2,0,2,88.31,,,,,0,0
A_仅noon有销量,SDA2000A,,,,N,1,0,1,56.50,,,,,0,0
A_仅noon有销量,SDA2001A,,,,N,1,0,1,72.22,,,,,0,0
A_仅noon有销量,SDA2004A,,,,N,4,0,4,48.50,,,,,0,0
A_仅noon有销量,SDA2006A,,,,N,2,0,2,50.40,,,,,0,0
A_仅noon有销量,SDA2007A,,,,N,1,0,1,58.50,,,,,0,0
A_仅noon有销量,SDA2013B,,,,N,2,0,2,88.50,,,,,0,0
A_仅noon有销量,SDA2015A,,,,N,5,0,5,78.50,,,,,0,0
A_仅noon有销量,SDA2079B,,,,N,5,0,5,55.90,,,,,0,0
A_仅noon有销量,SDA2080B,,,,N,4,0,4,24.90,,,,,0,0
A_仅noon有销量,SDA2081B,,,,N,2,0,2,32.90,,,,,0,0
A_仅noon有销量,SDA2085B,,,,N,3,0,3,35.94,,,,,0,1
A_仅noon有销量,SDA2087A,,,,N,5,0,5,37.90,,,,,0,0
A_仅noon有销量,SDA2089G,,,,N,5,0,5,37.90,,,,,0,0
A_仅noon有销量,SDA2090F,,,,N,1,0,1,37.90,,,,,0,0
A_仅noon有销量,SDA2092B,,,,N,9,0,9,158.76,,,,,0,1
A_仅noon有销量,SDA2093F,,,,N,6,0,6,47.41,,,,,0,0
A_仅noon有销量,SDA2094F,,,,N,2,0,2,32.90,,,,,0,0
A_仅noon有销量,SDA2095G,,,,N,1,0,1,38.90,,,,,0,0
A_仅noon有销量,SDA2097A,,,,N,1,0,1,37.90,,,,,0,0
A_仅noon有销量,SDA2143A,,,,N,6,0,6,109.15,,,,,0,0
A_仅noon有销量,SDA2146A,,,,N,1,0,1,35.00,,,,,0,0
